# character mnemonics for RFC 1345
# source: http://tools.ietf.org/html/rfc1345
 
 SP     0020    SPACE
 e      0065    LATIN SMALL LETTER E
 f      0066    LATIN SMALL LETTER F
 g      0067    LATIN SMALL LETTER G
 h      0068    LATIN SMALL LETTER H
 i      0069    LATIN SMALL LETTER I
 j      006a    LATIN SMALL LETTER J
 k      006b    LATIN SMALL LETTER K
 l      006c    LATIN SMALL LETTER L
 m      006d    LATIN SMALL LETTER M
 n      006e    LATIN SMALL LETTER N
 o      006f    LATIN SMALL LETTER O
 p      0070    LATIN SMALL LETTER P
 q      0071    LATIN SMALL LETTER Q
 r      0072    LATIN SMALL LETTER R
 s      0073    LATIN SMALL LETTER S
 t      0074    LATIN SMALL LETTER T
 u      0075    LATIN SMALL LETTER U
 v      0076    LATIN SMALL LETTER V
 w      0077    LATIN SMALL LETTER W
 x      0078    LATIN SMALL LETTER X
 y      0079    LATIN SMALL LETTER Y
 z      007a    LATIN SMALL LETTER Z
 (!     007b    LEFT CURLY BRACKET
 !!     007c    VERTICAL LINE
 !)     007d    RIGHT CURLY BRACKET
 '?     007e    TILDE
 NS     00a0    NO-BREAK SPACE
 !I     00a1    INVERTED EXCLAMATION MARK
 Ct     00a2    CENT SIGN
 Pd     00a3    POUND SIGN
 Cu     00a4    CURRENCY SIGN
 Ye     00a5    YEN SIGN
 BB     00a6    BROKEN BAR
 SE     00a7    SECTION SIGN
 ':     00a8    DIAERESIS
 Co     00a9    COPYRIGHT SIGN
 -a     00aa    FEMININE ORDINAL INDICATOR
 <<     00ab    LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
 NO     00ac    NOT SIGN
 --     00ad    SOFT HYPHEN
 Rg     00ae    REGISTERED SIGN
 'm     00af    MACRON
 DG     00b0    DEGREE SIGN
 +-     00b1    PLUS-MINUS SIGN
 2S     00b2    SUPERSCRIPT TWO
 3S     00b3    SUPERSCRIPT THREE
 ''     00b4    ACUTE ACCENT
 My     00b5    MICRO SIGN
 PI     00b6    PILCROW SIGN
 .M     00b7    MIDDLE DOT
 ',     00b8    CEDILLA
 1S     00b9    SUPERSCRIPT ONE
 -o     00ba    MASCULINE ORDINAL INDICATOR
 >>     00bb    RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
 14     00bc    VULGAR FRACTION ONE QUARTER
 12     00bd    VULGAR FRACTION ONE HALF
 34     00be    VULGAR FRACTION THREE QUARTERS
 ?I     00bf    INVERTED QUESTION MARK
 A!     00c0    LATIN CAPITAL LETTER A WITH GRAVE
 A'     00c1    LATIN CAPITAL LETTER A WITH ACUTE
 A>     00c2    LATIN CAPITAL LETTER A WITH CIRCUMFLEX
 A?     00c3    LATIN CAPITAL LETTER A WITH TILDE
 A:     00c4    LATIN CAPITAL LETTER A WITH DIAERESIS
 AA     00c5    LATIN CAPITAL LETTER A WITH RING ABOVE
 AE     00c6    LATIN CAPITAL LETTER AE
 C,     00c7    LATIN CAPITAL LETTER C WITH CEDILLA
 E!     00c8    LATIN CAPITAL LETTER E WITH GRAVE
 E'     00c9    LATIN CAPITAL LETTER E WITH ACUTE
 E>     00ca    LATIN CAPITAL LETTER E WITH CIRCUMFLEX
 E:     00cb    LATIN CAPITAL LETTER E WITH DIAERESIS
 I!     00cc    LATIN CAPITAL LETTER I WITH GRAVE
 I'     00cd    LATIN CAPITAL LETTER I WITH ACUTE
 I>     00ce    LATIN CAPITAL LETTER I WITH CIRCUMFLEX
 I:     00cf    LATIN CAPITAL LETTER I WITH DIAERESIS
 D-     00d0    LATIN CAPITAL LETTER ETH (Icelandic)
 N?     00d1    LATIN CAPITAL LETTER N WITH TILDE
 O!     00d2    LATIN CAPITAL LETTER O WITH GRAVE
 O'     00d3    LATIN CAPITAL LETTER O WITH ACUTE
 O>     00d4    LATIN CAPITAL LETTER O WITH CIRCUMFLEX
 O?     00d5    LATIN CAPITAL LETTER O WITH TILDE
 O:     00d6    LATIN CAPITAL LETTER O WITH DIAERESIS
 *X     00d7    MULTIPLICATION SIGN
 O/     00d8    LATIN CAPITAL LETTER O WITH STROKE
 U!     00d9    LATIN CAPITAL LETTER U WITH GRAVE
 U'     00da    LATIN CAPITAL LETTER U WITH ACUTE
 U>     00db    LATIN CAPITAL LETTER U WITH CIRCUMFLEX
 U:     00dc    LATIN CAPITAL LETTER U WITH DIAERESIS
 Y'     00dd    LATIN CAPITAL LETTER Y WITH ACUTE
 TH     00de    LATIN CAPITAL LETTER THORN (Icelandic)
 ss     00df    LATIN SMALL LETTER SHARP S (German)
 a!     00e0    LATIN SMALL LETTER A WITH GRAVE
 a'     00e1    LATIN SMALL LETTER A WITH ACUTE
 a>     00e2    LATIN SMALL LETTER A WITH CIRCUMFLEX
 a?     00e3    LATIN SMALL LETTER A WITH TILDE
 a:     00e4    LATIN SMALL LETTER A WITH DIAERESIS
 aa     00e5    LATIN SMALL LETTER A WITH RING ABOVE
 ae     00e6    LATIN SMALL LETTER AE
 c,     00e7    LATIN SMALL LETTER C WITH CEDILLA
 e!     00e8    LATIN SMALL LETTER E WITH GRAVE
 e'     00e9    LATIN SMALL LETTER E WITH ACUTE
 e>     00ea    LATIN SMALL LETTER E WITH CIRCUMFLEX
 e:     00eb    LATIN SMALL LETTER E WITH DIAERESIS
 i!     00ec    LATIN SMALL LETTER I WITH GRAVE
 i'     00ed    LATIN SMALL LETTER I WITH ACUTE
 i>     00ee    LATIN SMALL LETTER I WITH CIRCUMFLEX
 i:     00ef    LATIN SMALL LETTER I WITH DIAERESIS
 d-     00f0    LATIN SMALL LETTER ETH (Icelandic)
 n?     00f1    LATIN SMALL LETTER N WITH TILDE
 o!     00f2    LATIN SMALL LETTER O WITH GRAVE
 o'     00f3    LATIN SMALL LETTER O WITH ACUTE
 o>     00f4    LATIN SMALL LETTER O WITH CIRCUMFLEX
 o?     00f5    LATIN SMALL LETTER O WITH TILDE
 o:     00f6    LATIN SMALL LETTER O WITH DIAERESIS
 -:     00f7    DIVISION SIGN
 o/     00f8    LATIN SMALL LETTER O WITH STROKE
 u!     00f9    LATIN SMALL LETTER U WITH GRAVE
 u'     00fa    LATIN SMALL LETTER U WITH ACUTE
 u>     00fb    LATIN SMALL LETTER U WITH CIRCUMFLEX
 u:     00fc    LATIN SMALL LETTER U WITH DIAERESIS
 y'     00fd    LATIN SMALL LETTER Y WITH ACUTE
 th     00fe    LATIN SMALL LETTER THORN (Icelandic)
 y:     00ff    LATIN SMALL LETTER Y WITH DIAERESIS
 A-     0100    LATIN CAPITAL LETTER A WITH MACRON
 a-     0101    LATIN SMALL LETTER A WITH MACRON
 A(     0102    LATIN CAPITAL LETTER A WITH BREVE
 a(     0103    LATIN SMALL LETTER A WITH BREVE
 A;     0104    LATIN CAPITAL LETTER A WITH OGONEK
 a;     0105    LATIN SMALL LETTER A WITH OGONEK
 C'     0106    LATIN CAPITAL LETTER C WITH ACUTE
 c'     0107    LATIN SMALL LETTER C WITH ACUTE
 C>     0108    LATIN CAPITAL LETTER C WITH CIRCUMFLEX
 c>     0109    LATIN SMALL LETTER C WITH CIRCUMFLEX
 C.     010a    LATIN CAPITAL LETTER C WITH DOT ABOVE
 c.     010b    LATIN SMALL LETTER C WITH DOT ABOVE
 C<     010c    LATIN CAPITAL LETTER C WITH CARON
 c<     010d    LATIN SMALL LETTER C WITH CARON
 D<     010e    LATIN CAPITAL LETTER D WITH CARON
 d<     010f    LATIN SMALL LETTER D WITH CARON
 D/     0110    LATIN CAPITAL LETTER D WITH STROKE
 d/     0111    LATIN SMALL LETTER D WITH STROKE
 E-     0112    LATIN CAPITAL LETTER E WITH MACRON
 e-     0113    LATIN SMALL LETTER E WITH MACRON
 E(     0114    LATIN CAPITAL LETTER E WITH BREVE
 e(     0115    LATIN SMALL LETTER E WITH BREVE
 E.     0116    LATIN CAPITAL LETTER E WITH DOT ABOVE
 e.     0117    LATIN SMALL LETTER E WITH DOT ABOVE
 E;     0118    LATIN CAPITAL LETTER E WITH OGONEK
 e;     0119    LATIN SMALL LETTER E WITH OGONEK
 E<     011a    LATIN CAPITAL LETTER E WITH CARON
 e<     011b    LATIN SMALL LETTER E WITH CARON
 G>     011c    LATIN CAPITAL LETTER G WITH CIRCUMFLEX
 g>     011d    LATIN SMALL LETTER G WITH CIRCUMFLEX
 G(     011e    LATIN CAPITAL LETTER G WITH BREVE
 g(     011f    LATIN SMALL LETTER G WITH BREVE
 G.     0120    LATIN CAPITAL LETTER G WITH DOT ABOVE
 g.     0121    LATIN SMALL LETTER G WITH DOT ABOVE
 G,     0122    LATIN CAPITAL LETTER G WITH CEDILLA
 g,     0123    LATIN SMALL LETTER G WITH CEDILLA
 H>     0124    LATIN CAPITAL LETTER H WITH CIRCUMFLEX
 h>     0125    LATIN SMALL LETTER H WITH CIRCUMFLEX
 H/     0126    LATIN CAPITAL LETTER H WITH STROKE
 h/     0127    LATIN SMALL LETTER H WITH STROKE
 I?     0128    LATIN CAPITAL LETTER I WITH TILDE
 i?     0129    LATIN SMALL LETTER I WITH TILDE
 I-     012a    LATIN CAPITAL LETTER I WITH MACRON
 i-     012b    LATIN SMALL LETTER I WITH MACRON
 I(     012c    LATIN CAPITAL LETTER I WITH BREVE
 i(     012d    LATIN SMALL LETTER I WITH BREVE
 I;     012e    LATIN CAPITAL LETTER I WITH OGONEK
 i;     012f    LATIN SMALL LETTER I WITH OGONEK
 I.     0130    LATIN CAPITAL LETTER I WITH DOT ABOVE
 i.     0131    LATIN SMALL LETTER I DOTLESS
 IJ     0132    LATIN CAPITAL LIGATURE IJ
 ij     0133    LATIN SMALL LIGATURE IJ
 J>     0134    LATIN CAPITAL LETTER J WITH CIRCUMFLEX
 j>     0135    LATIN SMALL LETTER J WITH CIRCUMFLEX
 K,     0136    LATIN CAPITAL LETTER K WITH CEDILLA
 k,     0137    LATIN SMALL LETTER K WITH CEDILLA
 kk     0138    LATIN SMALL LETTER KRA (Greenlandic)
 L'     0139    LATIN CAPITAL LETTER L WITH ACUTE
 l'     013a    LATIN SMALL LETTER L WITH ACUTE
 L,     013b    LATIN CAPITAL LETTER L WITH CEDILLA
 l,     013c    LATIN SMALL LETTER L WITH CEDILLA
 L<     013d    LATIN CAPITAL LETTER L WITH CARON
 l<     013e    LATIN SMALL LETTER L WITH CARON
 L.     013f    LATIN CAPITAL LETTER L WITH MIDDLE DOT
 l.     0140    LATIN SMALL LETTER L WITH MIDDLE DOT
 L/     0141    LATIN CAPITAL LETTER L WITH STROKE
 l/     0142    LATIN SMALL LETTER L WITH STROKE
 N'     0143    LATIN CAPITAL LETTER N WITH ACUTE
 n'     0144    LATIN SMALL LETTER N WITH ACUTE
 N,     0145    LATIN CAPITAL LETTER N WITH CEDILLA
 n,     0146    LATIN SMALL LETTER N WITH CEDILLA
 N<     0147    LATIN CAPITAL LETTER N WITH CARON
 n<     0148    LATIN SMALL LETTER N WITH CARON
 'n     0149    LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
 NG     014a    LATIN CAPITAL LETTER ENG (Lappish)
 ng     014b    LATIN SMALL LETTER ENG (Lappish)
 O-     014c    LATIN CAPITAL LETTER O WITH MACRON
 o-     014d    LATIN SMALL LETTER O WITH MACRON
 O(     014e    LATIN CAPITAL LETTER O WITH BREVE
 o(     014f    LATIN SMALL LETTER O WITH BREVE
 O"     0150    LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
 o"     0151    LATIN SMALL LETTER O WITH DOUBLE ACUTE
 OE     0152    LATIN CAPITAL LIGATURE OE
 oe     0153    LATIN SMALL LIGATURE OE
 R'     0154    LATIN CAPITAL LETTER R WITH ACUTE
 r'     0155    LATIN SMALL LETTER R WITH ACUTE
 R,     0156    LATIN CAPITAL LETTER R WITH CEDILLA
 r,     0157    LATIN SMALL LETTER R WITH CEDILLA
 R<     0158    LATIN CAPITAL LETTER R WITH CARON
 r<     0159    LATIN SMALL LETTER R WITH CARON
 S'     015a    LATIN CAPITAL LETTER S WITH ACUTE
 s'     015b    LATIN SMALL LETTER S WITH ACUTE
 S>     015c    LATIN CAPITAL LETTER S WITH CIRCUMFLEX
 s>     015d    LATIN SMALL LETTER S WITH CIRCUMFLEX
 S,     015e    LATIN CAPITAL LETTER S WITH CEDILLA
 s,     015f    LATIN SMALL LETTER S WITH CEDILLA
 S<     0160    LATIN CAPITAL LETTER S WITH CARON
 s<     0161    LATIN SMALL LETTER S WITH CARON
 T,     0162    LATIN CAPITAL LETTER T WITH CEDILLA
 t,     0163    LATIN SMALL LETTER T WITH CEDILLA
 T<     0164    LATIN CAPITAL LETTER T WITH CARON
 t<     0165    LATIN SMALL LETTER T WITH CARON
 T/     0166    LATIN CAPITAL LETTER T WITH STROKE
 t/     0167    LATIN SMALL LETTER T WITH STROKE
 U?     0168    LATIN CAPITAL LETTER U WITH TILDE
 u?     0169    LATIN SMALL LETTER U WITH TILDE
 U-     016a    LATIN CAPITAL LETTER U WITH MACRON
 u-     016b    LATIN SMALL LETTER U WITH MACRON
 U(     016c    LATIN CAPITAL LETTER U WITH BREVE
 u(     016d    LATIN SMALL LETTER U WITH BREVE
 U0     016e    LATIN CAPITAL LETTER U WITH RING ABOVE
 u0     016f    LATIN SMALL LETTER U WITH RING ABOVE
 U"     0170    LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
 u"     0171    LATIN SMALL LETTER U WITH DOUBLE ACUTE
 U;     0172    LATIN CAPITAL LETTER U WITH OGONEK
 u;     0173    LATIN SMALL LETTER U WITH OGONEK
 W>     0174    LATIN CAPITAL LETTER W WITH CIRCUMFLEX
 w>     0175    LATIN SMALL LETTER W WITH CIRCUMFLEX
 Y>     0176    LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
 y>     0177    LATIN SMALL LETTER Y WITH CIRCUMFLEX
 Y:     0178    LATIN CAPITAL LETTER Y WITH DIAERESIS
 Z'     0179    LATIN CAPITAL LETTER Z WITH ACUTE
 z'     017a    LATIN SMALL LETTER Z WITH ACUTE
 Z.     017b    LATIN CAPITAL LETTER Z WITH DOT ABOVE
 z.     017c    LATIN SMALL LETTER Z WITH DOT ABOVE
 Z<     017d    LATIN CAPITAL LETTER Z WITH CARON
 z<     017e    LATIN SMALL LETTER Z WITH CARON
 O9     01a0    LATIN CAPITAL LETTER O WITH HORN
 o9     01a1    LATIN SMALL LETTER O WITH HORN
 OI     01a2    LATIN CAPITAL LETTER OI
 oi     01a3    LATIN SMALL LETTER OI
 yr     01a6    LATIN LETTER YR
 U9     01af    LATIN CAPITAL LETTER U WITH HORN
 u9     01b0    LATIN SMALL LETTER U WITH HORN
 Z/     01b5    LATIN CAPITAL LETTER Z WITH STROKE
 z/     01b6    LATIN SMALL LETTER Z WITH STROKE
 ED     01b7    LATIN CAPITAL LETTER EZH
 A<     01cd    LATIN CAPITAL LETTER A WITH CARON
 a<     01ce    LATIN SMALL LETTER A WITH CARON
 I<     01cf    LATIN CAPITAL LETTER I WITH CARON
 i<     01d0    LATIN SMALL LETTER I WITH CARON
 O<     01d1    LATIN CAPITAL LETTER O WITH CARON
 o<     01d2    LATIN SMALL LETTER O WITH CARON
 U<     01d3    LATIN CAPITAL LETTER U WITH CARON
 u<     01d4    LATIN SMALL LETTER U WITH CARON
 U:-    01d5    LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
 u:-    01d6    LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
 U:'    01d7    LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE
 u:'    01d8    LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE
 U:<    01d9    LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
 u:<    01da    LATIN SMALL LETTER U WITH DIAERESIS AND CARON
 U:!    01db    LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE
 u:!    01dc    LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE
 A1     01de    LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
 a1     01df    LATIN SMALL LETTER A WITH DIAERESIS AND MACRON
 A7     01e0    LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON
 a7     01e1    LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON
 A3     01e2    LATIN CAPITAL LETTER AE WITH MACRON
 a3     01e3    LATIN SMALL LETTER AE WITH MACRON
 G/     01e4    LATIN CAPITAL LETTER G WITH STROKE
 g/     01e5    LATIN SMALL LETTER G WITH STROKE
 G<     01e6    LATIN CAPITAL LETTER G WITH CARON
 g<     01e7    LATIN SMALL LETTER G WITH CARON
 K<     01e8    LATIN CAPITAL LETTER K WITH CARON
 k<     01e9    LATIN SMALL LETTER K WITH CARON
 O;     01ea    LATIN CAPITAL LETTER O WITH OGONEK
 o;     01eb    LATIN SMALL LETTER O WITH OGONEK
 O1     01ec    LATIN CAPITAL LETTER O WITH OGONEK AND MACRON
 o1     01ed    LATIN SMALL LETTER O WITH OGONEK AND MACRON
 EZ     01ee    LATIN CAPITAL LETTER EZH WITH CARON
 ez     01ef    LATIN SMALL LETTER EZH WITH CARON
 j<     01f0    LATIN SMALL LETTER J WITH CARON
 G'     01f4    LATIN CAPITAL LETTER G WITH ACUTE
 g'     01f5    LATIN SMALL LETTER G WITH ACUTE
 AA'    01fa    LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE
 aa'    01fb    LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE
 AE'    01fc    LATIN CAPITAL LETTER AE WITH ACUTE
 ae'    01fd    LATIN SMALL LETTER AE WITH ACUTE
 O/'    01fe    LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
 o/'    01ff    LATIN SMALL LETTER O WITH STROKE AND ACUTE
 ;S     02bf    MODIFIER LETTER LEFT HALF RING
 '<     02c7    CARON
 '(     02d8    BREVE
 '.     02d9    DOT ABOVE
 '0     02da    RING ABOVE
 ';     02db    OGONEK
 '"     02dd    DOUBLE ACUTE ACCENT
 A%     0386    GREEK CAPITAL LETTER ALPHA WITH ACUTE
 E%     0388    GREEK CAPITAL LETTER EPSILON WITH ACUTE
 Y%     0389    GREEK CAPITAL LETTER ETA WITH ACUTE
 I%     038a    GREEK CAPITAL LETTER IOTA WITH ACUTE
 O%     038c    GREEK CAPITAL LETTER OMICRON WITH ACUTE
 U%     038e    GREEK CAPITAL LETTER UPSILON WITH ACUTE
 W%     038f    GREEK CAPITAL LETTER OMEGA WITH ACUTE
 i3     0390    GREEK SMALL LETTER IOTA WITH ACUTE AND DIAERESIS
 A*     0391    GREEK CAPITAL LETTER ALPHA
 B*     0392    GREEK CAPITAL LETTER BETA
 G*     0393    GREEK CAPITAL LETTER GAMMA
 D*     0394    GREEK CAPITAL LETTER DELTA
 E*     0395    GREEK CAPITAL LETTER EPSILON
 Z*     0396    GREEK CAPITAL LETTER ZETA
 Y*     0397    GREEK CAPITAL LETTER ETA
 H*     0398    GREEK CAPITAL LETTER THETA
 I*     0399    GREEK CAPITAL LETTER IOTA
 K*     039a    GREEK CAPITAL LETTER KAPPA
 L*     039b    GREEK CAPITAL LETTER LAMDA
 M*     039c    GREEK CAPITAL LETTER MU
 N*     039d    GREEK CAPITAL LETTER NU
 C*     039e    GREEK CAPITAL LETTER XI
 O*     039f    GREEK CAPITAL LETTER OMICRON
 P*     03a0    GREEK CAPITAL LETTER PI
 R*     03a1    GREEK CAPITAL LETTER RHO
 S*     03a3    GREEK CAPITAL LETTER SIGMA
 T*     03a4    GREEK CAPITAL LETTER TAU
 U*     03a5    GREEK CAPITAL LETTER UPSILON
 F*     03a6    GREEK CAPITAL LETTER PHI
 X*     03a7    GREEK CAPITAL LETTER CHI
 Q*     03a8    GREEK CAPITAL LETTER PSI
 W*     03a9    GREEK CAPITAL LETTER OMEGA
 J*     03aa    GREEK CAPITAL LETTER IOTA WITH DIAERESIS
 V*     03ab    GREEK CAPITAL LETTER UPSILON WITH DIAERESIS
 a%     03ac    GREEK SMALL LETTER ALPHA WITH ACUTE
 e%     03ad    GREEK SMALL LETTER EPSILON WITH ACUTE
 y%     03ae    GREEK SMALL LETTER ETA WITH ACUTE
 i%     03af    GREEK SMALL LETTER IOTA WITH ACUTE
 u3     03b0    GREEK SMALL LETTER UPSILON WITH ACUTE AND DIAERESIS
 a*     03b1    GREEK SMALL LETTER ALPHA
 b*     03b2    GREEK SMALL LETTER BETA
 g*     03b3    GREEK SMALL LETTER GAMMA
 d*     03b4    GREEK SMALL LETTER DELTA
 e*     03b5    GREEK SMALL LETTER EPSILON
 z*     03b6    GREEK SMALL LETTER ZETA
 y*     03b7    GREEK SMALL LETTER ETA
 h*     03b8    GREEK SMALL LETTER THETA
 i*     03b9    GREEK SMALL LETTER IOTA
 k*     03ba    GREEK SMALL LETTER KAPPA
 l*     03bb    GREEK SMALL LETTER LAMDA
 m*     03bc    GREEK SMALL LETTER MU
 n*     03bd    GREEK SMALL LETTER NU
 c*     03be    GREEK SMALL LETTER XI
 o*     03bf    GREEK SMALL LETTER OMICRON
 p*     03c0    GREEK SMALL LETTER PI
 r*     03c1    GREEK SMALL LETTER RHO
 *s     03c2    GREEK SMALL LETTER FINAL SIGMA
 s*     03c3    GREEK SMALL LETTER SIGMA
 t*     03c4    GREEK SMALL LETTER TAU
 u*     03c5    GREEK SMALL LETTER UPSILON
 f*     03c6    GREEK SMALL LETTER PHI
 x*     03c7    GREEK SMALL LETTER CHI
 q*     03c8    GREEK SMALL LETTER PSI
 w*     03c9    GREEK SMALL LETTER OMEGA
 j*     03ca    GREEK SMALL LETTER IOTA WITH DIAERESIS
 v*     03cb    GREEK SMALL LETTER UPSILON WITH DIAERESIS
 o%     03cc    GREEK SMALL LETTER OMICRON WITH ACUTE
 u%     03cd    GREEK SMALL LETTER UPSILON WITH ACUTE
 w%     03ce    GREEK SMALL LETTER OMEGA WITH ACUTE
 'G     03d8    GREEK NUMERAL SIGN
 ,G     03d9    GREEK LOWER NUMERAL SIGN
 T3     03da    GREEK CAPITAL LETTER STIGMA
 t3     03db    GREEK SMALL LETTER STIGMA
 M3     03dc    GREEK CAPITAL LETTER DIGAMMA
 m3     03dd    GREEK SMALL LETTER DIGAMMA
 K3     03de    GREEK CAPITAL LETTER KOPPA
 k3     03df    GREEK SMALL LETTER KOPPA
 P3     03e0    GREEK CAPITAL LETTER SAMPI
 p3     03e1    GREEK SMALL LETTER SAMPI
 '%     03f4    ACUTE ACCENT AND DIAERESIS (Tonos and Dialytika)
 j3     03f5    GREEK IOTA BELOW
 IO     0401    CYRILLIC CAPITAL LETTER IO
 D%     0402    CYRILLIC CAPITAL LETTER DJE (Serbocroatian)
 G%     0403    CYRILLIC CAPITAL LETTER GJE (Macedonian)
 IE     0404    CYRILLIC CAPITAL LETTER UKRAINIAN IE
 DS     0405    CYRILLIC CAPITAL LETTER DZE (Macedonian)
 II     0406    CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
 YI     0407    CYRILLIC CAPITAL LETTER YI (Ukrainian)
 J%     0408    CYRILLIC CAPITAL LETTER JE
 LJ     0409    CYRILLIC CAPITAL LETTER LJE
 NJ     040a    CYRILLIC CAPITAL LETTER NJE
 Ts     040b    CYRILLIC CAPITAL LETTER TSHE (Serbocroatian)
 KJ     040c    CYRILLIC CAPITAL LETTER KJE (Macedonian)
 V%     040e    CYRILLIC CAPITAL LETTER SHORT U (Byelorussian)
 DZ     040f    CYRILLIC CAPITAL LETTER DZHE
 A=     0410    CYRILLIC CAPITAL LETTER A
 B=     0411    CYRILLIC CAPITAL LETTER BE
 V=     0412    CYRILLIC CAPITAL LETTER VE
 G=     0413    CYRILLIC CAPITAL LETTER GHE
 D=     0414    CYRILLIC CAPITAL LETTER DE
 E=     0415    CYRILLIC CAPITAL LETTER IE
 Z%     0416    CYRILLIC CAPITAL LETTER ZHE
 Z=     0417    CYRILLIC CAPITAL LETTER ZE
 I=     0418    CYRILLIC CAPITAL LETTER I
 J=     0419    CYRILLIC CAPITAL LETTER SHORT I
 K=     041a    CYRILLIC CAPITAL LETTER KA
 L=     041b    CYRILLIC CAPITAL LETTER EL
 M=     041c    CYRILLIC CAPITAL LETTER EM
 N=     041d    CYRILLIC CAPITAL LETTER EN
 O=     041e    CYRILLIC CAPITAL LETTER O
 P=     041f    CYRILLIC CAPITAL LETTER PE
 R=     0420    CYRILLIC CAPITAL LETTER ER
 S=     0421    CYRILLIC CAPITAL LETTER ES
 T=     0422    CYRILLIC CAPITAL LETTER TE
 U=     0423    CYRILLIC CAPITAL LETTER U
 F=     0424    CYRILLIC CAPITAL LETTER EF
 H=     0425    CYRILLIC CAPITAL LETTER HA
 C=     0426    CYRILLIC CAPITAL LETTER TSE
 C%     0427    CYRILLIC CAPITAL LETTER CHE
 S%     0428    CYRILLIC CAPITAL LETTER SHA
 Sc     0429    CYRILLIC CAPITAL LETTER SHCHA
 ="     042a    CYRILLIC CAPITAL LETTER HARD SIGN
 Y=     042b    CYRILLIC CAPITAL LETTER YERU
 %"     042c    CYRILLIC CAPITAL LETTER SOFT SIGN
 JE     042d    CYRILLIC CAPITAL LETTER E
 JU     042e    CYRILLIC CAPITAL LETTER YU
 JA     042f    CYRILLIC CAPITAL LETTER YA
