@type,spec
@name,RTF
@version,1.0
@references,rtf10
@copyright,Copyright (C) 2012 Reece H. Dunn
@license,http://creativecommons.org/licenses/by-sa/2.0/uk/

# section,title,url,implemented,tests,comments

Syntax,Control Word : Letter Sequence [a-z],,0.2,0.2,
Footnotes,\endnotes,,no,no,
Footnotes,\enddoc,,no,no,
Footnotes,\ftntj,,no,no,
Footnotes,\ftnbj,,no,no,
Footnotes,\ftnstart,,no,no,
Footnotes,\ftnrestart,,no,no,
Page Information,\paperw,,no,no,
Page Information,\paperh,,no,no,
Page Information,\margl,,no,no,
Page Information,\margr,,no,no,
Page Information,\margt,,no,no,
Page Information,\margb,,no,no,
Page Information,\facingp,,no,no,
Page Information,\gutter,,no,no,
Page Information,\margmirror,,no,no,
Page Information,\landscape,,no,no,
Page Information,\pgnstart,,no,no,
Page Information,\windowctrl,,no,no,
Revision Marks,\revisions,,no,no,
Revision Marks,\revprop,,no,no,
Revision Marks,\revbar,,no,no,
Section Formatting Properties,\sectd,,no,no,
Section Formatting Properties,\endnhere,,no,no,
Section Formatting Properties,\binfsxn,,no,no,
Section Formatting Properties,\binsxn,,no,no,
Section Break,\sbknone,,no,no,
Section Break,\sbkcol,,no,no,
Section Break,\sbkpage,,no,no,
Section Break,\sbkeven,,no,no,
Section Break,\sbkodd,,no,no,
Columns,\cols,,no,no,
Columns,\colsx,,no,no,
Columns,\linebetcol,,no,no,
Line Numbering,\linemod,,no,no,
Line Numbering,\linex,,no,no,
Line Numbering,\linestarts,,no,no,
Line Numbering,\linerestart,,no,no,
Line Numbering,\lineppage,,no,no,
Line Numbering,\linecont,,no,no,
Page Information,\pgwsxn,,no,no,
Page Information,\pghsxn,,no,no,
Page Information,\marglsxn,,no,no,
Page Information,\margrsxn,,no,no,
Page Information,\margtsxn,,no,no,
Page Information,\margbsxn,,no,no,
Page Information,\guttersxn,,no,no,
Page Information,\lndscpsxn,,no,no,
Page Information,\titlepg,,no,no,
Page Information,\headery,,no,no,
Page Information,\footery,,no,no,
Page Numbers,\pgnstarts,,no,no,
Page Numbers,\pgncont,,no,no,
Page Numbers,\pgnrestart,,no,no,
Page Numbers,\pgnx,,no,no,
Page Numbers,\pgny,,no,no,
Page Numbers,\pgndec,,no,no,
Page Numbers,\pgnucrm,,no,no,
Page Numbers,\pgnlcrm,,no,no,
Page Numbers,\pgnucltr,,no,no,
Page Numbers,\pgnlcltr,,no,no,
Vertical Alignment,\vertalt,,no,no,
Vertical Alignment,\vertal,,no,no,
Vertical Alignment,\vertalc,,no,no,
Vertical Alignment,\vertalj,,no,no,
Paragraph Formatting Properties,\pard,,no,no,
Paragraph Formatting Properties,\s,,no,no,
Paragraph Formatting Properties,\intbl,,no,no,
Paragraph Formatting Properties,\keep,,no,no,
Paragraph Formatting Properties,\keepn,,no,no,
Paragraph Formatting Properties,\noline,,no,no,
Paragraph Formatting Properties,\pagebb,,no,no,
Paragraph Formatting Properties,\sbys,,no,no,
Alignment,\ql,,no,no,
Alignment,\qr,,no,no,
Alignment,\qj,,no,no,
Alignment,\qc,,no,no,
Indentation,\fi,,no,no,
Indentation,\li,,no,no,
Indentation,\ri,,no,no,
Spacing,\sb,,no,no,
Spacing,\sa,,no,no,
Spacing,\sl,,no,no,
Tabs,\tx,,no,no,
Tabs,\tqr,,no,no,
Tabs,\tqc,,no,no,
Tabs,\tqdec,,no,no,
Tabs,\tb,,no,no,
Tabs,\tldot,,no,no,
Tabs,\tlhyp,,no,no,
Tabs,\tlul,,no,no,
Tabs,\tlth,,no,no,
Tabs,\tleq,,no,no,
Paragraph Borders,\brdrt,,no,no,
Paragraph Borders,\brdrb,,no,no,
Paragraph Borders,\brdrl,,no,no,
Paragraph Borders,\brdrr,,no,no,
Paragraph Borders,\brdrbtw,,no,no,
Paragraph Borders,\brdrbar,,no,no,
Paragraph Borders,\box,,no,no,
Paragraph Borders,\brdrs,,no,no,
Paragraph Borders,\brdrth,,no,no,
Paragraph Borders,\brdrsh,,no,no,
Paragraph Borders,\brdrdb,,no,no,
Paragraph Borders,\brdrdot,,no,no,
Paragraph Borders,\brdrhair,,no,no,
Paragraph Borders,\brdrw,,no,no,
Paragraph Borders,\brdrcf,,no,no,
Paragraph Borders,\brsp,,no,no,
Paragraph Shading/Pattern,\shading,,no,no,
Paragraph Shading/Pattern,\bghoriz,,no,no,
Paragraph Shading/Pattern,\bgvert,,no,no,
Paragraph Shading/Pattern,\bgfdiag,,no,no,
Paragraph Shading/Pattern,\bgbdiag,,no,no,
Paragraph Shading/Pattern,\bgcross,,no,no,
Paragraph Shading/Pattern,\bgdcross,,no,no,
Paragraph Shading/Pattern,\bgdkhoriz,,no,no,
Paragraph Shading/Pattern,\bgdkvert,,no,no,
Paragraph Shading/Pattern,\bgdkfdiag,,no,no,
Paragraph Shading/Pattern,\bgdkbdiag,,no,no,
Paragraph Shading/Pattern,\bgdkcross,,no,no,
Paragraph Shading/Pattern,\bgdkdcross,,no,no,
Paragraph Shading/Pattern,\cfpat,,no,no,
Paragraph Shading/Pattern,\cbpat,,no,no,
Positioned Objects/Frames,\absw,,no,no,
Positioned Objects/Frames,\absh,,no,no,
Horizontal Position,\phmrg,,no,no,
Horizontal Position,\phpg,,no,no,
Horizontal Position,\phcol,,no,no,
Horizontal Position,\posx,,no,no,
Horizontal Position,\posxc,,no,no,
Horizontal Position,\posxi,,no,no,
Horizontal Position,\posxo,,no,no,
Horizontal Position,\posxr,,no,no,
Horizontal Position,\posxl,,no,no,
Vertical Position,\pvmrg,,no,no,
Vertical Position,\pvpg,,no,no,
Vertical Position,\pvpara,,no,no,
Vertical Position,\posy,,no,no,
Vertical Position,\posyil,,no,no,
Vertical Position,\posyt,,no,no,
Vertical Position,\posyc,,no,no,
Vertical Position,\posyb,,no,no,
Text Wrapping,\dxfrtext,,no,no,
Text Wrapping,\dyfrtext,,no,no,
Tables,\trowd,,no,no,
Tables,\trgaph,,no,no,
Tables,\cellx,,no,no,
Tables,\clmgf,,no,no,
Tables,\clmrg,,no,no,
Cell Borders And Shading,\clbrdrt,,no,no,
Cell Borders And Shading,\clbrdrb,,no,no,
Cell Borders And Shading,\clbrdrl,,no,no,
Cell Borders And Shading,\clbrdrr,,no,no,
Row Formatting,\trql,,no,no,
Row Formatting,\trqr,,no,no,
Row Formatting,\trqc,,no,no,
Row Formatting,\trleft,,no,no,
Row Formatting,\trrh,,no,no,
Cell Shading/Pattern,\clshdng,,no,no,
Cell Shading/Pattern,\clbghoriz,,no,no,
Cell Shading/Pattern,\clbgvert,,no,no,
Cell Shading/Pattern,\clbgfdiag,,no,no,
Cell Shading/Pattern,\clbgbdiag,,no,no,
Cell Shading/Pattern,\clbgcross,,no,no,
Cell Shading/Pattern,\clbgdcross,,no,no,
Cell Shading/Pattern,\clbgdkhor,,no,no,
Cell Shading/Pattern,\clbgdkvert,,no,no,
Cell Shading/Pattern,\clbgdkfdiag,,no,no,
Cell Shading/Pattern,\clbgdkbdiag,,no,no,
Cell Shading/Pattern,\clbgdkcross,,no,no,
Cell Shading/Pattern,\clbgdkdcross,,no,no,
Cell Shading/Pattern,\clcfpat,,no,no,
Cell Shading/Pattern,\clcbpat,,no,no,
Character Formatting Properties,\plain,,no,no,
Character Formatting Properties,\b,,no,no,
Character Formatting Properties,\caps,,no,no,
Character Formatting Properties,\deleted,,no,no,
Character Formatting Properties,\dn,,no,no,
Character Formatting Properties,\expnd,,no,no,
Character Formatting Properties,\f,,no,no,
Character Formatting Properties,\fs,,no,no,
Character Formatting Properties,\i,,no,no,
Character Formatting Properties,\outl,,no,no,
Character Formatting Properties,\revised,,no,no,
Character Formatting Properties,\scaps,,no,no,
Character Formatting Properties,\shad,,no,no,
Character Formatting Properties,\strike,,no,no,
Character Formatting Properties,\ul,,no,no,
Character Formatting Properties,\uld,,no,no,
Character Formatting Properties,\uldb,,no,no,
Character Formatting Properties,\ulnone,,no,no,
Character Formatting Properties,\ulw,,no,no,
Character Formatting Properties,\up,,no,no,
Character Formatting Properties,\v,,no,no,
Character Formatting Properties,\lang,,no,no,
Special Characters,\chdate,,no,no,
Special Characters,\chdpl,,no,no,
Special Characters,\chdpa,,no,no,
Special Characters,\chtime,,no,no,
Special Characters,\chpgn,,no,no,
Special Characters,\chftn,,no,no,
Special Characters,\chatn,,no,no,
Special Characters,\chftnsep,,no,no,
Special Characters,\chftnsepc,,no,no,
Special Characters,\cell,,no,no,
Special Characters,\row,,no,no,
Special Characters,\par,,0.3,0.3,
Special Characters,\sect,,no,no,
Special Characters,\page,,no,no,
Special Characters,\column,,no,no,
Special Characters,\line,,no,no,
Special Characters,\tab,,0.3,0.3,
Special Characters,\emdash,,0.3,0.3,
Special Characters,\endash,,0.3,0.3,
Special Characters,\bullet,,0.3,0.3,
Special Characters,\lquote,,0.3,0.3,
Special Characters,\rquote,,0.3,0.3,
Special Characters,\ldblquote,,0.3,0.3,
Special Characters,\rdblquote,,0.3,0.3,
Special Characters,\|,,no,no,
Special Characters,\~,,0.3,0.3,
Special Characters,\-,,0.3,0.3,
Special Characters,\_,,0.3,0.3,
Special Characters,\:,,no,no,
Special Characters,\*,,0.3,no,
Special Characters,\'hh,,0.3,0.3,
Special Characters,\alt,,no,no,
Special Characters,\shift,,no,no,
Special Characters,\ctrl,,no,no,
Special Characters,\[CR],,0.3,0.3,
Special Characters,\[LF],,0.3,0.3,
